模型,roc_auc,pr_auc,threshold,precision,recall,specificity,f1,balanced_accuracy,brier,tn,fp,fn,tp
分组逻辑回归,0.8259446263108251,0.4791059358032821,0.5,0.2857142857142857,0.746268656716418,0.7676579925650557,0.4132231404958678,0.7569633246407368,0.1584084245153023,413,125,17,50
随机森林,0.7896299173278588,0.38587286550033256,0.5,0.4423076923076923,0.34328358208955223,0.9460966542750929,0.3865546218487395,0.6446901181823226,0.0934363640460223,509,29,44,23
直方图梯度提升,0.7683792931254508,0.4005810695167461,0.5,0.3968253968253968,0.373134328358209,0.929368029739777,0.38461538461538464,0.651251179048993,0.10010824124641919,500,38,42,25
传统 |Z|≥3,0.47916551073628144,0.10949273120540018,0.5,0.08888888888888889,0.05970149253731343,0.9237918215613383,0.07142857142857142,0.49174665704932585,0.1444345399057007,497,41,63,4
