样本数,阳性数,平均预测概率,观察阳性率,概率下界,概率上界,Wilson下限,Wilson上限
76,2,0.021923463300883368,0.02631578947368421,0.0012849645440580766,0.036605436563266085,0.00724665907512833,0.09096621098658073
76,1,0.04731982197212364,0.013157894736842105,0.0370905934154844,0.05732048563653417,0.00232648004557906,0.07083674751784413
75,0,0.06575424391953698,0.0,0.057559558967557,0.07273054454806632,3.469446951953614e-18,0.04872384248280587
76,4,0.08157667874614044,0.05263157894736842,0.07298713363204218,0.08997928186632002,0.020655429299384284,0.12765672575889647
75,5,0.10109127796687237,0.06666666666666667,0.09009446542874769,0.1140802706492298,0.02881006289949372,0.14675060058560468
76,10,0.1287248700765745,0.13157894736842105,0.11411041664403201,0.14553481032041932,0.07306881567918964,0.22554119436880626
75,16,0.17238344119614799,0.21333333333333335,0.1466652648038451,0.20490218240049607,0.1358020117971739,0.31879965789296816
76,29,0.3136741787718631,0.3815789473684211,0.20502500089722472,0.6077259416054047,0.28057076752897386,0.4939824499864535
